Species,Diameter,Condition,Sidewalk_Condition,Borough,Longitude,Latitude
GIBI,4,Poor,Good,Manhattan,-74.003786,40.714405
GLTR,3,Excellent,Good,Manhattan,-74.010694,40.717461
GLTR,11,Excellent,Good,Manhattan,-74.010694,40.717461
GLTR,5,Excellent,Good,Manhattan,-74.010694,40.717461
GLTR,11,Excellent,Good,Manhattan,-74.010694,40.717461
GLTR,11,Excellent,Good,Manhattan,-74.010694,40.717461
GLTR,14,Excellent,Good,Manhattan,-74.010694,40.717461
GLTR,11,Excellent,Good,Manhattan,-74.010694,40.717461
GLTR,10,Excellent,Good,Manhattan,-74.010694,40.717461
GLTR,10,Excellent,Good,Manhattan,-74.010694,40.717461
GLTR,12,Excellent,Good,Manhattan,-74.010694,40.717461
GLTR,12,Excellent,Good,Manhattan,-74.010694,40.717461
GLTR,5,Good,Good,Manhattan,-74.005362,40.713746
GLTR,10,Excellent,Good,Manhattan,-74.010694,40.717461
GLTR,12,Excellent,Good,Manhattan,-74.010694,40.717461
PLAC,4,Good,Good,Manhattan,-74.003618,40.71364
PLAC,7,Good,Good,Manhattan,-74.003618,40.71364
PYCA,7,Excellent,Good,Manhattan,-74.010861,40.716795
PYCA,8,Excellent,Good,Manhattan,-74.010861,40.716795
PYCA,8,Excellent,Good,Manhattan,-74.010861,40.716795
PYCA,5,Excellent,Good,Manhattan,-74.009918,40.716511
PYCA,7,Excellent,Good,Manhattan,-74.009918,40.716511
PYCA,5,Excellent,Good,Manhattan,-74.009918,40.716511
PYCA,7,Excellent,Good,Manhattan,-74.009877,40.716492
PYCA,6,Excellent,Good,Manhattan,-74.009877,40.716492
PYCA,11,Excellent,Good,Manhattan,-74.009513,40.716327
PYCA,10,Excellent,Good,Manhattan,-74.009513,40.716327
PYCA,12,Excellent,Good,Manhattan,-74.009513,40.716327
PYCA,11,Excellent,Good,Manhattan,-74.009513,40.716327
PYCA,9,Excellent,Good,Manhattan,-74.009513,40.716327
PYCA,11,Excellent,Good,Manhattan,-74.009198,40.716249
FRPE,5,Excellent,Good,Manhattan,-74.009198,40.716249
GLTR,4,Excellent,Good,Manhattan,-74.00472,40.713435
GLTR,4,Poor,Good,Manhattan,-74.009198,40.716249
GLTR,4,Excellent,Good,Manhattan,-74.00472,40.713435
GLTR,6,Excellent,Good,Manhattan,-74.00472,40.713435
GIBI,6,Excellent,Good,Manhattan,-74.009031,40.715767
GLTR,4,Excellent,Good,Manhattan,-74.005449,40.71379
