RecordId,Address,Zip_Original,Species,Diameter,Condition,Wires,Sidewalk_Condition,Support_Structure,Borough,Longitude,Latitude,Zip_New,CensusTract_2010,CensusBlock_2010,SegmentID,Spc_Common,Spc_Latin,Location
27,39 HARRISON ST,10013,GLTR,6,Poor,None,Good,None,Manhattan,-74.010791,40.718848,10013,39,3000,164122,HONEYLOCUST,GLEDITSIA TRIACANTHOS,"(40.718848, -74.010791)"
28,37 HARRISON ST,10013,GLTR,8,Poor,None,Good,None,Manhattan,-74.010739,40.718842,10013,39,3000,164122,HONEYLOCUST,GLEDITSIA TRIACANTHOS,"(40.718842, -74.010739)"
29,33 HARRISON ST,10013,GLTR,7,Poor,None,Good,None,Manhattan,-74.010636,40.71883,10013,39,3000,164122,HONEYLOCUST,GLEDITSIA TRIACANTHOS,"(40.71883, -74.010636)"
30,33 HARRISON ST,10013,GLTR,10,Poor,None,Good,None,Manhattan,-74.010636,40.71883,10013,39,3000,164122,HONEYLOCUST,GLEDITSIA TRIACANTHOS,"(40.71883, -74.010636)"
31,290 BROADWAY,10007,OSVI,4,Excellent,None,Good,None,Manhattan,-74.005823,40.714754,10007,31,1016,23405,EASTERN HOP HORNBEAM,OSTRYA VIRGINIANA,"(40.714754, -74.005823)"
32,290 BROADWAY,10007,OSVI,4,Excellent,None,Good,None,Manhattan,-74.005823,40.714754,10007,31,1016,23405,EASTERN HOP HORNBEAM,OSTRYA VIRGINIANA,"(40.714754, -74.005823)"
33,290 BROADWAY,10007,OSVI,4,Excellent,None,Good,None,Manhattan,-74.005823,40.714754,10007,31,1016,23405,EASTERN HOP HORNBEAM,OSTRYA VIRGINIANA,"(40.714754, -74.005823)"
34,355 GREENWICH ST,10013,TICO,9,Good,None,Good,None,Manhattan,-74.010399,40.718813,10013,39,4004,31565,"LINDEN, LITTLE LEAF",TILIA CORDATA,"(40.718813, -74.010399)"
35,290 BROADWAY,10007,OSVI,4,Excellent,None,Good,None,Manhattan,-74.005823,40.714754,10007,31,1016,23405,EASTERN HOP HORNBEAM,OSTRYA VIRGINIANA,"(40.714754, -74.005823)"
36,290 BROADWAY,10007,OSVI,4,Excellent,None,Good,None,Manhattan,-74.005823,40.714754,10007,31,1016,23405,EASTERN HOP HORNBEAM,OSTRYA VIRGINIANA,"(40.714754, -74.005823)"
37,361 GREENWICH ST,10013,TICO,8,Poor,None,Good,None,Manhattan,-74.010354,40.719082,10013,39,4004,31565,"LINDEN, LITTLE LEAF",TILIA CORDATA,"(40.719082, -74.010354)"
38,290 BROADWAY,10007,OSVI,4,Excellent,None,Good,None,Manhattan,-74.005823,40.714754,10007,31,1016,23405,EASTERN HOP HORNBEAM,OSTRYA VIRGINIANA,"(40.714754, -74.005823)"
39,290 BROADWAY,10007,OSVI,4,Excellent,None,Good,None,Manhattan,-74.005823,40.714754,10007,31,1016,23405,EASTERN HOP HORNBEAM,OSTRYA VIRGINIANA,"(40.714754, -74.005823)"
40,3521/2 GREENWICH ST,0,GLTR,7,Poor,None,Good,None,Manhattan,1,1,10013,39,2001,31565,HONEYLOCUST,GLEDITSIA TRIACANTHOS,"(1.0, 1.0)"
41,290 BROADWAY,10007,OSVI,4,Excellent,None,Good,None,Manhattan,-74.005823,40.714754,10007,31,1016,23405,EASTERN HOP HORNBEAM,OSTRYA VIRGINIANA,"(40.714754, -74.005823)"
42,290 BROADWAY,10007,OSVI,4,Excellent,None,Good,None,Manhattan,-74.005823,40.714754,10007,31,1016,23405,EASTERN HOP HORNBEAM,OSTRYA VIRGINIANA,"(40.714754, -74.005823)"
43,3541/2 GREENWICH ST,0,GLTR,3,Good,None,Good,None,Manhattan,1,1,10013,39,2001,31565,HONEYLOCUST,GLEDITSIA TRIACANTHOS,"(1.0, 1.0)"
44,290 BROADWAY,10007,OSVI,4,Excellent,None,Good,None,Manhattan,-74.005823,40.714754,10007,31,1016,23405,EASTERN HOP HORNBEAM,OSTRYA VIRGINIANA,"(40.714754, -74.005823)"
45,290 BROADWAY,10007,OSVI,4,Excellent,None,Good,None,Manhattan,-74.005823,40.714754,10007,31,1016,23405,EASTERN HOP HORNBEAM,OSTRYA VIRGINIANA,"(40.714754, -74.005823)"
46,3541/2 GREENWICH ST,0,GLTR,4,Poor,None,Good,None,Manhattan,1,1,10013,39,2001,31565,HONEYLOCUST,GLEDITSIA TRIACANTHOS,"(1.0, 1.0)"
47,290 BROADWAY,10007,OSVI,4,Excellent,None,Good,None,Manhattan,-74.005823,40.714754,10007,31,1016,23405,EASTERN HOP HORNBEAM,OSTRYA VIRGINIANA,"(40.714754, -74.005823)"
48,290 BROADWAY,10007,OSVI,4,Excellent,None,Good,None,Manhattan,-74.005823,40.714754,10007,31,1016,23405,EASTERN HOP HORNBEAM,OSTRYA VIRGINIANA,"(40.714754, -74.005823)"
49,3701/2 GREENWICH ST,0,GLTR,5,Good,None,Good,None,Manhattan,1,1,10013,39,2001,31566,HONEYLOCUST,GLEDITSIA TRIACANTHOS,"(1.0, 1.0)"
50,290 BROADWAY,10007,OSVI,4,Excellent,None,Good,None,Manhattan,-74.005823,40.714754,10007,31,1016,23405,EASTERN HOP HORNBEAM,OSTRYA VIRGINIANA,"(40.714754, -74.005823)"
51,290 BROADWAY,10007,OSVI,4,Excellent,None,Good,None,Manhattan,-74.005823,40.714754,10007,31,1016,23405,EASTERN HOP HORNBEAM,OSTRYA VIRGINIANA,"(40.714754, -74.005823)"
52,3721/2 GREENWICH ST,0,GLTR,4,Poor,None,Good,None,Manhattan,1,1,10013,39,2001,31566,HONEYLOCUST,GLEDITSIA TRIACANTHOS,"(1.0, 1.0)"
53,290 BROADWAY,10007,OSVI,4,Excellent,None,Good,None,Manhattan,-74.005823,40.714754,10007,31,1016,23405,EASTERN HOP HORNBEAM,OSTRYA VIRGINIANA,"(40.714754, -74.005823)"
54,290 BROADWAY,10007,OSVI,4,Good,None,Good,None,Manhattan,-74.005823,40.714754,10007,31,1016,23405,EASTERN HOP HORNBEAM,OSTRYA VIRGINIANA,"(40.714754, -74.005823)"
55,3781/2 GREENWICH ST,0,GLTR,7,Good,None,Good,None,Manhattan,1,1,10013,39,2001,31566,HONEYLOCUST,GLEDITSIA TRIACANTHOS,"(1.0, 1.0)"
56,3781/2 GREENWICH ST,0,GIBI,5,Excellent,None,Good,None,Manhattan,1,1,10013,39,2001,31566,GINKGO,GINKGO BILOBA,"(1.0, 1.0)"
57,3781/2 GREENWICH ST,0,GIBI,4,Good,None,Good,None,Manhattan,1,1,10013,39,2001,31566,GINKGO,GINKGO BILOBA,"(1.0, 1.0)"
58,361 GREENWICH ST,10013,ULAM,4,Good,None,Good,None,Manhattan,-74.010354,40.719082,10013,39,4004,31565,"ELM, AMERICAN",ULMUS AMERICANA,"(40.719082, -74.010354)"
59,290 BROADWAY,10007,OSVI,4,Excellent,None,Good,None,Manhattan,-74.005823,40.714754,10007,31,1016,23405,EASTERN HOP HORNBEAM,OSTRYA VIRGINIANA,"(40.714754, -74.005823)"
60,290 BROADWAY,10007,OSVI,4,Excellent,None,Good,None,Manhattan,-74.005823,40.714754,10007,31,1016,23405,EASTERN HOP HORNBEAM,OSTRYA VIRGINIANA,"(40.714754, -74.005823)"
61,290 BROADWAY,10007,OSVI,4,Excellent,None,Good,None,Manhattan,-74.005823,40.714754,10007,31,1016,23405,EASTERN HOP HORNBEAM,OSTRYA VIRGINIANA,"(40.714754, -74.005823)"
62,290 BROADWAY,10007,OSVI,4,Excellent,None,Good,None,Manhattan,-74.005823,40.714754,10007,31,1016,23405,EASTERN HOP HORNBEAM,OSTRYA VIRGINIANA,"(40.714754, -74.005823)"
63,290 BROADWAY,10007,OSVI,4,Excellent,None,Good,None,Manhattan,-74.005823,40.714754,10007,31,1016,23405,EASTERN HOP HORNBEAM,OSTRYA VIRGINIANA,"(40.714754, -74.005823)"
64,290 BROADWAY,10007,OSVI,4,Excellent,None,Good,None,Manhattan,-74.005823,40.714754,10007,31,1016,23405,EASTERN HOP HORNBEAM,OSTRYA VIRGINIANA,"(40.714754, -74.005823)"
65,290 BROADWAY,10007,OSVI,4,Excellent,None,Good,None,Manhattan,-74.005823,40.714754,10007,31,1016,23405,EASTERN HOP HORNBEAM,OSTRYA VIRGINIANA,"(40.714754, -74.005823)"
66,290 BROADWAY,10007,OSVI,4,Excellent,None,Good,None,Manhattan,-74.005823,40.714754,10007,31,1016,23405,EASTERN HOP HORNBEAM,OSTRYA VIRGINIANA,"(40.714754, -74.005823)"
67,290 BROADWAY,10007,OSVI,4,Excellent,None,Good,None,Manhattan,-74.005823,40.714754,10007,31,1016,23405,EASTERN HOP HORNBEAM,OSTRYA VIRGINIANA,"(40.714754, -74.005823)"
68,9 N MOORE ST,10013,PR,2,Poor,None,Good,None,Manhattan,-74.006433,40.719742,10013,33,3013,31804,"CHERRY, OTHER",PRUNUS SPECIES,"(40.719742, -74.006433)"
69,290 BROADWAY,10007,OSVI,4,Excellent,None,Good,None,Manhattan,-74.005823,40.714754,10007,31,1016,23405,EASTERN HOP HORNBEAM,OSTRYA VIRGINIANA,"(40.714754, -74.005823)"
70,9 N MOORE ST,10013,PR,2,Poor,None,Good,None,Manhattan,-74.006433,40.719742,10013,33,3013,31804,"CHERRY, OTHER",PRUNUS SPECIES,"(40.719742, -74.006433)"
71,290 BROADWAY,10007,OSVI,5,Excellent,None,Good,None,Manhattan,-74.005823,40.714754,10007,31,1016,23405,EASTERN HOP HORNBEAM,OSTRYA VIRGINIANA,"(40.714754, -74.005823)"
72,290 BROADWAY,10007,OSVI,4,Excellent,None,Good,None,Manhattan,-74.005823,40.714754,10007,31,1016,23405,EASTERN HOP HORNBEAM,OSTRYA VIRGINIANA,"(40.714754, -74.005823)"
73,388 GREENWICH ST,10013,GLTR,5,Excellent,None,Good,None,Manhattan,-74.010132,40.720544,10013,39,2002,31568,HONEYLOCUST,GLEDITSIA TRIACANTHOS,"(40.720544, -74.010132)"
74,388 GREENWICH ST,10013,GLTR,5,Excellent,None,Good,None,Manhattan,-74.010132,40.720544,10013,39,2002,31568,HONEYLOCUST,GLEDITSIA TRIACANTHOS,"(40.720544, -74.010132)"
75,388 GREENWICH ST,10013,GLTR,5,Excellent,None,Good,None,Manhattan,-74.010132,40.720544,10013,39,2002,31568,HONEYLOCUST,GLEDITSIA TRIACANTHOS,"(40.720544, -74.010132)"
76,388 GREENWICH ST,10013,GLTR,4,Good,None,Good,None,Manhattan,-74.010132,40.720544,10013,39,2002,31568,HONEYLOCUST,GLEDITSIA TRIACANTHOS,"(40.720544, -74.010132)"
77,388 GREENWICH ST,10013,GLTR,5,Excellent,None,Good,None,Manhattan,-74.010132,40.720544,10013,39,2002,31568,HONEYLOCUST,GLEDITSIA TRIACANTHOS,"(40.720544, -74.010132)"
78,388 GREENWICH ST,10013,GLTR,5,Excellent,None,Good,None,Manhattan,-74.010132,40.720544,10013,39,2002,31568,HONEYLOCUST,GLEDITSIA TRIACANTHOS,"(40.720544, -74.010132)"
79,388 GREENWICH ST,10013,GLTR,6,Excellent,None,Good,None,Manhattan,-74.010132,40.720544,10013,39,2002,31568,HONEYLOCUST,GLEDITSIA TRIACANTHOS,"(40.720544, -74.010132)"
